coin,timeframe,futures,swing_length,stop_loss_multiplier,take_profit_multiplier,min_strength_ratio,trailing_stop_activation,trailing_stop_percent,violation_type,risk_per_trade_percent,mean_test_sharpe,mean_test_roi,mean_test_profit_factor,mean_test_win_rate,mean_test_trades
ETHUSDT,15m,True,10,1.0,4,0.4,1.5,2.5,Close,1,-1.0083384246721792,-14.090982955749057,0.8325217371672817,0.45813498360308896,137
ETHUSDT,15m,True,10,1.5,6,0.5,2.5,3.0,Close,3,0.10226115935341701,4.644046752459575,1.0283189403277146,0.35160896751563214,81
ETHUSDT,15m,True,5,1.2,4,0.5,3.0,2.0,Wick,1,-1.734666060142858,-32.27650880390884,0.7444225544299639,0.34996113486202873,160
ETHUSDT,15m,True,5,1.0,2,0.6,2.0,2.5,Close,2,-0.4602786138169037,-9.582078872305782,0.9098130424154182,0.6060779816513762,106
ETHUSDT,15m,True,20,0.5,6,0.4,2.0,2.0,Wick,2,-0.36516786192474293,-6.93502033089764,0.9102287863914136,0.5472310126582278,79
ETHUSDT,15m,True,15,0.5,4,0.6,2.5,2.5,Close,1,-0.01384719860614625,-0.15042096358185142,1.0454717982026316,0.6706349206349207,19
ETHUSDT,15m,True,30,1.5,5,0.7,1.5,2.0,Wick,2,0.0,0.0,0.0,0.0,0
ETHUSDT,15m,True,5,1.5,4,0.6,1.5,3.0,Close,3,-1.0946055259401464,-48.328803320687356,0.784626390200538,0.33341117130580983,103
ETHUSDT,15m,True,15,0.7,4,0.6,2.0,1.5,Wick,3,0.27109157438624587,3.438585617330408,1.159635425230435,0.6428571428571428,19
ETHUSDT,15m,True,20,0.5,6,0.7,3.0,3.0,Close,1,-11.42864557254198,-0.2764685498620907,inf,0.5,2
ETHUSDT,15m,True,15,1.2,2,0.6,2.5,2.5,Close,2,0.6573740809212513,4.261546752808416,1.4397499700603298,0.7222222222222222,19
ETHUSDT,15m,True,5,1.2,6,0.6,2.0,1.5,Close,3,-1.9096846039585569,-84.0047425624681,0.6522488227826762,0.29534524997731604,105
ETHUSDT,15m,True,20,1.5,5,0.7,2.0,2.0,Wick,3,-68.14164840386921,0.9955030099770448,inf,0.5,2
ETHUSDT,15m,True,15,1.2,2,0.6,3.0,2.5,Close,3,0.6181041060702979,5.862644938183231,1.4166800512484303,0.7222222222222222,19
ETHUSDT,15m,True,10,1.5,2,0.7,3.0,1.5,Close,3,-0.5555320686352079,-6.3736498033828575,0.7177442274123648,0.48958333333333337,14
ETHUSDT,15m,True,30,1.5,4,0.6,2.0,3.0,Wick,1,-0.8599234042955411,-2.353628813634975,0.5196127669459223,0.375,7
ETHUSDT,15m,True,30,1.2,5,0.7,1.5,2.0,Wick,1,0.0,0.0,0.0,0.0,0
ETHUSDT,15m,True,20,1.0,4,0.5,2.5,1.5,Wick,1,-0.3798559499046219,-2.267141740693079,0.8884175433729871,0.5337837837837838,36
ETHUSDT,15m,True,10,1.0,3,0.5,1.5,2.0,Wick,1,-0.2645448984546862,-2.731775909880538,0.9484649996512684,0.5558139534883721,85
ETHUSDT,15m,True,15,0.5,6,0.6,3.0,2.5,Wick,3,0.3154584554705207,4.55520463639569,1.1935084525331967,0.5634920634920635,19
ETHUSDT,15m,True,5,1.0,2,0.3,3.0,3.0,Wick,3,-1.1831708925976345,-58.435304936177744,0.8592389966149914,0.6040329173251948,303
ETHUSDT,15m,True,15,1.5,2,0.6,1.5,2.0,Wick,1,0.7021142769007077,2.7667511964684444,1.432856848513999,0.6944444444444444,19
ETHUSDT,15m,True,15,1.0,5,0.7,2.0,2.5,Close,3,-0.12992635205440417,0.5249458945478724,1.0909786950537783,0.5,5
ETHUSDT,15m,True,5,0.5,3,0.3,3.0,2.5,Wick,1,-1.3783860332797224,-23.05394590660866,0.8313837107785401,0.6350678019552192,308
ETHUSDT,15m,True,30,1.0,3,0.3,1.5,1.5,Wick,1,-0.11774024867222121,-0.9978190386997721,0.9836262460637617,0.6577589077589078,77
ETHUSDT,15m,True,15,1.5,5,0.6,3.0,3.0,Close,1,0.12820124499583493,0.746126117647463,1.1452987648655877,0.41666666666666663,19
ETHUSDT,15m,True,20,1.2,3,0.5,2.0,1.5,Close,3,-0.35040642209915634,-5.556045436407661,0.9077110400981385,0.5611861861861862,36
ETHUSDT,15m,True,10,1.5,3,0.6,2.5,2.5,Wick,3,-0.2610966273759574,-4.153059439337804,1.025310114315459,0.4577269577269577,38
ETHUSDT,15m,True,20,0.5,2,0.4,3.0,3.0,Close,1,-0.11027338616141508,-0.8215964670656362,1.0073820054373606,0.8304588607594936,79
ETHUSDT,15m,True,30,1.2,3,0.4,1.5,2.0,Wick,2,0.4690521347591079,6.058679159583215,1.1864053881418886,0.6475409836065573,61
ETHUSDT,15m,True,30,0.5,6,0.6,2.5,2.0,Close,2,-1.1784548403547501,-5.964259206491929,0.5117113700245084,0.5416666666666666,7
ETHUSDT,15m,True,10,1.0,2,0.3,1.5,3.0,Close,3,-0.8601265781165748,-29.68128270102293,0.8675414875345333,0.640515427769986,185
ETHUSDT,15m,True,15,1.5,4,0.4,3.0,2.0,Close,2,0.9173004532926866,23.64151561548808,1.2483545849402629,0.4774788703360132,98
