coin,timeframe,futures,swing_length,stop_loss_multiplier,take_profit_multiplier,min_strength_ratio,trailing_stop_activation,trailing_stop_percent,violation_type,risk_per_trade_percent,mean_test_sharpe,mean_test_roi,mean_test_profit_factor,mean_test_win_rate,mean_test_trades
ETHUSDT,15m,True,30,1.2,3,0.7,2.5,2.5,Close,1,0.0,0.0,0.0,0.0,0
ETHUSDT,15m,True,10,1.5,2,0.6,1.5,2.0,Close,1,0.12425141835484477,1.7541064440618301,1.1069808960547207,0.39223839223839224,38
ETHUSDT,15m,True,75,1.2,2,0.4,3.0,2.0,Close,2,0.5402531441829669,6.46075564094828,1.3957404916142175,0.4298245614035088,23
ETHUSDT,15m,True,15,0.7,5,0.7,2.5,1.5,Close,2,-0.6893192316560768,-3.837831464095356,0.5412809697706191,0.2,5
ETHUSDT,15m,True,20,1.2,2,0.4,1.5,3.0,Close,2,0.4038527972349777,9.022100173869475,1.1182455249290262,0.3963440860215054,68
ETHUSDT,15m,True,15,0.7,6,0.5,3.0,2.0,Wick,3,-0.4057499668649285,-14.55970840150218,0.8779129614282157,0.24528301886792453,53
ETHUSDT,15m,True,30,1.2,4,0.5,3.0,2.0,Close,3,0.27240828399164674,7.275126821786889,1.1495013638099305,0.2869269949066214,25
ETHUSDT,15m,True,75,1.2,5,0.3,3.0,2.0,Wick,3,-0.5289412458422036,-5.286773465022516,0.7887548023533644,0.23796791443850268,14
ETHUSDT,15m,True,15,0.5,2,0.6,2.5,2.5,Wick,2,-0.6657914018441045,-7.291324289219154,0.7389923730892731,0.30952380952380953,19
ETHUSDT,15m,True,100,1.5,2,0.4,2.0,2.0,Wick,3,-0.9143618429075465,-13.541054675874726,0.7408843027215837,0.2785714285714286,17
ETHUSDT,15m,True,15,0.5,6,0.6,2.0,2.0,Close,1,-0.5993269382847419,-3.238450228523572,0.8022109492385596,0.2857142857142857,19
ETHUSDT,15m,True,100,1.0,3,0.5,3.0,3.0,Close,2,-0.5655510658936908,-4.384367901792814,0.9009069632089193,0.2222222222222222,6
ETHUSDT,15m,True,30,1.5,3,0.7,3.0,2.5,Wick,1,0.0,0.0,0.0,0.0,0
ETHUSDT,15m,True,10,1.2,5,0.4,3.0,1.5,Close,3,0.1856192859658934,9.716477663448329,1.0497633625639695,0.2516454585344449,96
ETHUSDT,15m,True,100,0.7,2,0.5,3.0,1.5,Wick,3,-0.46345528534959307,-5.101818206735657,0.7483318746290177,0.2777777777777778,6
ETHUSDT,15m,True,10,0.5,2,0.6,2.5,1.5,Wick,2,-0.022294916183381086,1.804178266432876,1.14199637621258,0.39154539154539153,38
ETHUSDT,15m,True,20,0.5,2,0.5,1.5,1.5,Wick,1,-1.0967180982886975,-7.93648567102481,0.6807812391521149,0.3145645645645646,36
ETHUSDT,15m,True,30,1.5,5,0.6,3.0,3.0,Wick,1,-0.5738413460243745,-2.7101895967095375,0.6986514865017099,0.25,7
ETHUSDT,15m,True,15,0.7,4,0.7,3.0,2.5,Close,3,-0.11322510644647467,-1.4230950811829826,0.8880422547330482,0.2,5
ETHUSDT,15m,True,120,0.5,3,0.3,1.5,2.0,Close,1,-0.58098596408215,-2.176897015561106,0.813898847006961,0.3208333333333333,15
ETHUSDT,15m,True,50,0.7,4,0.7,2.5,1.5,Wick,2,0.0,0.0,0.0,0.0,0
ETHUSDT,15m,True,15,1.0,5,0.3,2.0,2.5,Wick,2,-0.10936885510602096,-2.3265248079575063,0.9931459454255542,0.28180715585203153,91
ETHUSDT,15m,True,10,1.2,2,0.3,2.5,2.5,Close,2,-0.09349469130458071,-3.6626189266992375,0.9894902244034518,0.38024492426683854,126
ETHUSDT,15m,True,15,1.2,6,0.3,3.0,2.5,Close,2,0.8496269722008734,30.462354080916022,1.2895447020903161,0.284708063021316,74
ETHUSDT,15m,True,50,1.2,5,0.7,2.5,2.0,Close,3,0.0,0.0,0.0,0.0,0
ETHUSDT,15m,True,120,1.5,5,0.7,2.0,1.5,Close,2,0.0,0.0,0.0,0.0,0
